maturity,price
0.05,5.6122
0.1,4.34778
0.15,3.64918
0.2,3.18054
0.25,2.82342
0.3,2.54215
0.35,2.30053
0.4,2.10126
0.45,1.92021
0.5,1.76896
0.55,1.6343
0.6,1.51793
0.65,1.42478
0.7,1.32798
0.75,1.2432
0.8,1.16728
0.85,1.09401
0.9,1.03239
0.95,0.963715
1,0.900888
1.05,0.87002
1.1,0.809099
1.15,0.760008
1.2,0.719753
1.25,0.686759
1.3,0.645738
1.35,0.625791
1.4,0.599022
1.45,0.556954
1.5,0.51805
1.55,0.488376
1.6,0.448853
1.65,0.435257
1.7,0.410849
1.75,0.397477
1.8,0.393988
1.85,0.366435
1.9,0.345116
1.95,0.31699
