spot,price
80,0.399418
81,0.452602
82,0.509653
83,0.570599
84,0.637588
85,0.709029
86,0.78642
87,0.863468
88,0.94257
89,1.02325
90,1.10256
91,1.17746
92,1.2538
93,1.32776
94,1.39737
95,1.46193
96,1.52672
97,1.58095
98,1.63425
99,1.68148
100,1.72467
101,1.76608
102,1.79253
103,1.80927
104,1.83116
105,1.8398
106,1.83768
107,1.83663
108,1.81801
109,1.79672
110,1.76896
111,1.73123
112,1.70316
113,1.64084
114,1.59114
115,1.52847
116,1.45672
117,1.37675
118,1.29301
119,1.20062
120,1.10991
121,1.0046
122,0.909137
123,0.814268
124,0.727792
125,0.616857
126,0.508311
127,0.397057
128,0.305916
129,0.193269
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
